team1,team2,winner,margin,won_by,year,match_id
CSK,KKR,CSK,27,run,2021,T203817
DC,KKR,KKR,3,wicket,2021,T206442
RCB,KKR,KKR,4,wicket,2021,T208597
DC,CSK,CSK,4,wicket,2021,T201819
DC,RCB,RCB,7,wicket,2021,T205942
MI,SRH,MI,42,run,2021,T201979
KKR,RR,KKR,86,run,2021,T204179
CSK,PK,PK,6,wicket,2021,T201866
SRH,RCB,SRH,4,run,2021,T209992
RR,MI,MI,8,wicket,2021,T205599
CSK,DC,DC,3,wicket,2021,T207682
SRH,KKR,KKR,6,wicket,2021,T207430
RCB,PK,RCB,6,run,2021,T207754
CSK,RR,RR,7,wicket,2021,T205672
MI,DC,DC,4,wicket,2021,T209349
KKR,PK,PK,5,wicket,2021,T201051
SRH,CSK,CSK,6,wicket,2021,T203061
RR,RCB,RCB,7,wicket,2021,T204742
PK,MI,MI,6,wicket,2021,T208262
DC,KKR,KKR,3,wicket,2021,T206700
RR,SRH,SRH,7,wicket,2021,T206862
RCB,MI,RCB,54,run,2021,T203043
KKR,CSK,CSK,2,wicket,2021,T202406
PK,SRH,PK,5,run,2021,T203188
DC,RR,DC,33,run,2021,T202046
RCB,CSK,CSK,6,wicket,2021,T207776
MI,KKR,KKR,7,wicket,2021,T202680
SRH,DC,DC,8,wicket,2021,T204364
RR,PK,RR,2,run,2021,T207857
RCB,KKR,KKR,9,wicket,2021,T204307
CSK,MI,CSK,20,run,2021,T201256
PK,DC,DC,7,wicket,2021,T208407
RR,SRH,RR,55,run,2021,T209103
CSK,MI,MI,4,wicket,2021,T203694
PK,RCB,PK,34,run,2021,T208245
KKR,DC,DC,7,wicket,2021,T201595
RR,MI,MI,7,wicket,2021,T209461
SRH,CSK,CSK,7,wicket,2021,T205094
RCB,DC,RCB,1,run,2021,T208915
PK,KKR,KKR,5,wicket,2021,T209997
CSK,RCB,CSK,69,run,2021,T202915
KKR,RR,RR,6,wicket,2021,T205585
MI,PK,PK,9,wicket,2021,T204808
RR,RCB,RCB,10,wicket,2021,T201545
CSK,KKR,CSK,18,run,2021,T202233
PK,SRH,SRH,9,wicket,2021,T204912
MI,DC,DC,6,wicket,2021,T207273
CSK,RR,CSK,45,run,2021,T209089
PK,DC,DC,6,wicket,2021,T209593
RCB,KKR,RCB,38,run,2021,T202791
MI,SRH,MI,13,run,2021,T201372
PK,CSK,CSK,6,wicket,2021,T205292
DC,RR,RR,3,wicket,2021,T203570
RCB,SRH,RCB,6,run,2021,T202204
MI,KKR,MI,10,run,2021,T209194
PK,RR,PK,4,run,2021,T207896
KKR,SRH,KKR,10,run,2021,T209178
CSK,DC,DC,7,wicket,2021,T206363
MI,RCB,RCB,2,wicket,2021,T203784
RR,GT,GT,7,wicket,2022,T202715
RCB,RR,RR,7,wicket,2022,T201109
RCB,LSG,RCB,14,run,2022,T207136
RR,GT,GT,7,wicket,2022,T203302
