name,team,battingStyle,bowlingStyle,playingRole
RuturajGaikwad,CSK,Right hand Bat,Right arm Offbreak,Top Order Batter
FafduPlessis,CSK,Right hand Bat,Legbreak,Middle order Batter
RobinUthappa,CSK,Right hand Bat,Right arm Medium,Top Order Batter
MoeenAli,CSK,Left hand Bat,Right arm Offbreak,All rounder
ShubmanGill,KKR,Right hand Bat,Right arm Offbreak,Top Order Batter
VenkateshIyer,KKR,Left hand Bat,Right arm Medium,All rounder
NitishRana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
SunilNarine,KKR,Left hand Bat,Right arm Offbreak,All rounder
EoinMorgan,KKR,Left hand Bat,Right arm Medium,Middle order Batter
DineshKarthik,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper
ShakibAlHasan,KKR,Left hand Bat,Slow Left arm Orthodox,All rounder
RahulTripathi,KKR,Right hand Bat,Right arm Medium,Top order Batter
LockieFerguson,KKR,Right hand Bat,Right arm Fast,Bowler
ShivamMavi,KKR,Right hand Bat,Right arm Fast medium,Bowler
VarunChakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler
DeepakChahar,CSK,Right hand Bat,Right arm Medium,Bowler
JoshHazlewood,CSK,Left hand Bat,Right arm Fast medium,Bowler
ShardulThakur,CSK,Right hand Bat,Right arm Medium,Bowler
DwayneBravo,CSK,Right hand Bat,Right arm Medium,All rounder
RavindraJadeja,CSK,Left hand Bat,Slow Left arm Orthodox,All rounder
PrithviShaw,DC,Right hand Bat,Right arm Offbreak,Top Order Batter
ShikharDhawan,DC,Left hand Bat,Right arm Offbreak,Top Order Batter
MarcusStoinis,DC,Right hand Bat,Right arm Medium,All rounder
ShreyasIyer,DC,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
RishabhPant,DC,Left hand Bat,Not Bowling,Wicketkeeper
ShimronHetmyer,DC,Left hand Bat,Not Bowling,Top order Batter
AxarPatel,DC,Left hand Bat,Slow Left arm Orthodox,All rounder
AnrichNortje,DC,Right hand Bat,Right arm Fast,Bowler
RavichandranAshwin,DC,Right hand Bat,Right arm Offbreak,All rounder
AveshKhan,DC,Right hand Bat,Right arm Fast medium,Bowler
KagisoRabada,DC,Left hand Bat,Right arm Fast,Bowler
DevduttPadikkal,RCB,Left hand Bat,Right arm Offbreak,Top order Batter
ViratKohli,RCB,Right hand Bat,Right arm Medium,Top order Batter
SrikarBharat,RCB,Right hand Bat,Not Bowling,Wicketkeeper
GlennMaxwell,RCB,Right hand Bat,Right arm Offbreak,All rounder
ABdeVilliers,RCB,Right hand Bat,Right arm Medium,Wicketkeeper
ShahbazAhmed,RCB,Left hand Bat,Slow Left arm Orthodox,All rounder
DanChristian,RCB,Right hand Bat,Right arm Fast medium,All rounder
HarshalPatel,RCB,Right hand Bat,Right arm Medium,Bowler
GeorgeGarton,RCB,Left hand Bat,Left arm Fast,All rounder
MohammedSiraj,RCB,Right hand Bat,Right arm Fast,Bowler
YuzvendraChahal,RCB,Right hand Bat,Legbreak Googly,Bowler
TomCurran,DC,Right hand Bat,Right arm Fast medium,All rounder
AmbatiRayudu,CSK,Right hand Bat,Right arm Offbreak,Middle order Batter
MSDhoni,CSK,Right hand Bat,Right arm Medium,Wicketkeeper
RipalPatel,DC,Right hand Bat,Right arm Medium fast,Middle order Batter
RohitSharma,MI,Right hand Bat,Right arm Offbreak,Top order Batter
IshanKishan,MI,Left hand Bat,Not Bowling,Wicketkeeper
HardikPandya,MI,Right hand Bat,Right arm Medium fast,All rounder
KieronPollard,MI,Right hand Bat,Right arm Medium,All rounder
SuryakumarYadav,MI,Right hand Bat,"Right arm Medium, Right arm Offbreak",Top Order Batter
JamesNeesham,MI,Left hand Bat,Right arm Medium fast,All rounder
KrunalPandya,MI,Left hand Bat,Slow Left arm Orthodox,All rounder
NathanCoulter-Nile,MI,Right hand Bat,Right arm Fast,All rounder
PiyushChawla,MI,Left hand Bat,Legbreak,All rounder
JaspritBumrah,MI,Right hand Bat,Right arm Fast,Bowler
TrentBoult,MI,Right hand Bat,Left arm Fast medium,Bowler
JasonRoy,SRH,Right hand Bat,Not Bowling,Top Order Batter
AbhishekSharma,SRH,Left hand Bat,Slow Left arm Orthodox,All rounder
ManishPandey,SRH,Right hand Bat,Right arm Medium,Top order Batter
MohammadNabi,SRH,Right hand Bat,Right arm Offbreak,All rounder
AbdulSamad,SRH,Right hand Bat,Legbreak,Middle Order Batter
PriyamGarg,SRH,Right hand Bat,Right arm Medium,Top order Batter
JasonHolder,SRH,Right hand Bat,Right arm Medium fast,All rounder
RashidKhan,SRH,Right hand Bat,Legbreak Googly,All rounder
WriddhimanSaha,SRH,Right hand Bat,Not Bowling,Wicketkeeper
SiddarthKaul,SRH,Right hand Bat,Right arm Medium,Bowler
UmranMalik,SRH,Right hand Bat,Right arm Fast,Bowler
YashasviJaiswal,RR,Left hand Bat,Legbreak,Top Order Batter
LiamLivingstone,RR,Right hand Bat,"Right arm Offbreak, Legbreak",All rounder
SanjuSamson,RR,Right hand Bat,Not Bowling,Wicketkeeper
ShivamDube,RR,Left hand Bat,Right arm Medium,All rounder
AnujRawat,RR,Left hand Bat,Not Bowling,Wicketkeeper
GlennPhillips,RR,Right hand Bat,Right arm Offbreak,All rounder
RahulTewatia,RR,Left hand Bat,Legbreak,All rounder
ChrisMorris,RR,Right hand Bat,Right arm Fast medium,All rounder
JaydevUnadkat,RR,Right hand Bat,Left arm Medium,Bowler
ChetanSakariya,RR,Left hand Bat,Left arm Medium fast,Bowler
MustafizurRahman,RR,Left hand Bat,Left arm Fast medium,Bowler
KLRahul,PK,Right hand Bat,Not Bowling,Wicketkeeper
MayankAgarwal,PK,Right hand Bat,Right arm Offbreak,Top Order Batter
SarfarazKhan,PK,Right hand Bat,Legbreak,Middle order Batter
MShahrukhKhan,PK,Right hand Bat,Right arm Offbreak,Middle Order Batter
AidenMarkram,PK,Right hand Bat,Right arm Offbreak,Top Order Batter
MoisesHenriques,PK,Right hand Bat,Right arm Fast medium,All rounder
MohammedShami,PK,Right hand Bat,Right arm Fast,Bowler
HarpreetBrar,PK,Left hand Bat,Slow Left arm Orthodox,Bowler
ArshdeepSingh,PK,Left hand Bat,Left arm Medium fast,Bowler
ChrisJordan,PK,Right hand Bat,Right arm Fast medium,Bowler
RaviBishnoi,PK,Right hand Bat,Legbreak Googly,Bowler
KaneWilliamson,SRH,Right hand Bat,Right arm Offbreak,Top order Batter
BhuvneshwarKumar,SRH,Right hand Bat,Right arm Medium,Bowler
EvinLewis,RR,Left hand Bat,Not Bowling,Top Order Batter
DavidMiller,RR,Left hand Bat,Right arm Offbreak,Middle order Batter
ShreyasGopal,RR,Right hand Bat,Legbreak,All rounder
KuldipYadav,RR,Left hand Bat,Left arm Fast medium,Bowler
JayantYadav,MI,Right hand Bat,Right arm Offbreak,Bowler
TimSouthee,KKR,Right hand Bat,Right arm Medium fast,Bowler
NicholasPooran,PK,Left hand Bat,Right arm Offbreak,Wicketkeeper
SureshRaina,CSK,Left hand Bat,Right arm Offbreak,Middle order Batter
AkashSingh,RR,Right hand Bat,Left arm Medium fast,Bowler
MayankMarkande,RR,Right hand Bat,Legbreak,Bowler
SamCurran,CSK,Left hand Bat,Left arm Medium fast,All rounder
KMAsif,CSK,Right hand Bat,Right arm Medium,Bowler
QuintondeKock,MI,Left hand Bat,Not Bowling,Wicketkeeper
SaurabhTiwary,MI,Left hand Bat,Not Bowling,Top order Batter
StevenSmith,DC,Right hand Bat,Legbreak Googly,Top order Batter
TimSeifert,KKR,Right hand Bat,Not Bowling,Wicketkeeper
DeepakHooda,PK,Right hand Bat,Right arm Offbreak,All rounder
FabianAllen,PK,Right hand Bat,Slow Left arm Orthodox,All rounder
NathanEllis,PK,Right hand Bat,Right arm Fast medium,Bowler
SandeepSharma,SRH,Right hand Bat,Right arm Medium,Bowler
MahipalLomror,RR,Left hand Bat,Slow Left arm Orthodox,All rounder
RiyanParag,RR,Right hand Bat,Legbreak,Top order Batter
KartikTyagi,RR,Right hand Bat,Right arm Fast,Bowler
MandeepSingh,PK,Right hand Bat,Right arm Medium,All rounder
ChrisGayle,PK,Left hand Bat,Right arm Offbreak,All rounder
RahulChahar,MI,Right hand Bat,Legbreak Googly,Bowler
LalitYadav,DC,Right hand Bat,Right arm Offbreak,All rounder
SandeepWarrier,KKR,Right hand Bat,Right arm Medium,Bowler
KyleJamieson,RCB,Right hand Bat,Right arm Fast medium,Bowler
AdamMilne,MI,Right hand Bat,Right arm Fast,Bowler
AndreRussell,KKR,Right hand Bat,Right arm Fast,All rounder
PrasidhKrishna,KKR,Right hand Bat,Right arm Fast medium,Bowler
DavidWarner,SRH,Left hand Bat,Legbreak,Top Order Batter
KedarJadhav,SRH,Right hand Bat,Right arm Offbreak,All rounder
KhaleelAhmed,SRH,Right hand Bat,Left arm Fast medium,Bowler
TabraizShamsi,RR,Right hand Bat,Left arm Wrist spin,Bowler
TimDavid,RCB,Right hand Bat,Right arm Offbreak,Middle order Batter
WaninduHasaranga,RCB,Right hand Bat,Legbreak,All rounder
NavdeepSaini,RCB,Right hand Bat,Right arm Fast,Bowler
IshanPorel,PK,Right hand Bat,Right arm Medium,Bowler
AdilRashid,PK,Right hand Bat,Legbreak,Bowler
SachinBaby,RCB,Left hand Bat,Right arm Offbreak,Middle Order Batter
AnmolpreetSingh,MI,Right hand Bat,Right arm Offbreak,Middle Order Batter
PrabhsimranSingh,PK,Right hand Bat,Not Bowling,Wicketkeeper
DawidMalan,PK,Left hand Bat,Legbreak,Top order Batter
IshantSharma,DC,Right hand Bat,Right arm Fast medium,Bowler
RileyMeredith,PK,Right hand Bat,Right arm Fast,Bowler
JosButtler,RR,Right hand Bat,Not Bowling,Wicketkeeper
JonnyBairstow,SRH,Right hand Bat,Right arm Medium,Wicketkeeper
VijayShankar,SRH,Right hand Bat,Right arm Medium,All rounder
DhawalKulkarni,MI,Right hand Bat,Right arm Medium,Bowler
LungiNgidi,CSK,Right hand Bat,Right arm Fast medium,Bowler
RajatPatidar,RCB,Right hand Bat,Right arm Offbreak,Top order Batter
DanielSams,RCB,Right hand Bat,Left arm Fast medium,All rounder
PatCummins,KKR,Right hand Bat,Right arm Fast,Bowler
